球员  国籍  年龄  身价（欧元）  所属俱乐部  位置 
亚历山大·伯恩哈德松 (Alexander Bernhardsson)	瑞典	27岁	300万	荷尔斯泰因基尔	前锋
加斯佩·卡尔斯特伦 (Jesper Karlström)	瑞典	30岁	150万	乌迪内斯	中场
本杰明·尼格伦 (Benjamin Nygren)	瑞典	24岁	650万	凯尔特人	攻击型中场
肯·塞马 (Ken Sema)	瑞典	32岁	150万	帕福斯FC	左翼卫
马蒂亚斯·斯万贝里 (Mattias Svanberg)	瑞典	27岁	420万	沃尔夫斯堡	中场
贝斯福特·泽内利 (Besfort Zeneli)	瑞典	23岁	450万	圣吉罗斯联	中场
安东尼·埃兰加 (Anthony Elanga)	瑞典	24岁	3670万	纽卡斯尔联	右边锋
维克托·哲凯赖什 (Viktor Gyökeres)	瑞典	28岁	3300万	阿森纳	前锋
亚历山大·伊萨克 (Alexander Isak)	瑞典	26岁	8500万	利物浦	前锋
古斯塔夫·尼尔松 (Gustaf Nilsson)	瑞典	29岁	27万	布鲁日	前锋
叶海亚·福法纳 (Yahia Fofana)	科特迪瓦	25岁	500万	里泽体育	门将
穆罕默德·科内 (Mohamed Koné)	科特迪瓦	24岁	80万	沙勒罗瓦	门将
阿尔邦·拉丰 (Alban Lafont)	科特迪瓦	27岁	300万	帕纳辛纳科斯	门将
埃马纽埃尔·阿格巴杜 (Emmanuel Agbadou)	科特迪瓦	29岁	1800万	贝西克塔斯	后卫
克莱芒·阿克帕 (Clément Akpa)	科特迪瓦	24岁	900万	欧塞尔	后卫
奥斯曼·迪奥曼德 (Ousmane Diomandé)	科特迪瓦	22岁	4500万	葡萄牙体育	中后卫
盖拉·杜埃 (Guéla Doué)	科特迪瓦	23岁	1800万	斯特拉斯堡	右后卫
吉兰·科南 (Ghislain Konan)	科特迪瓦	30岁	300万	吉尔维森特	左后卫
奥迪隆·科苏努 (Odilon Kossounou)	科特迪瓦	25岁	1800万	亚特兰大	后卫
埃万·恩迪卡 (Evan Ndicka)	科特迪瓦	26岁	3500万	罗马	中后卫
威尔弗里德·辛戈 (Wilfried Singo)	科特迪瓦	25岁	2500万	加拉塔萨雷	后卫
克里斯托弗·奥佩里 (Christopher Operi)	科特迪瓦	29岁	—	伊斯坦布尔	左后卫
塞科·福法纳 (Seko Fofana)	科特迪瓦	31岁	800万	波尔图	中场
帕尔费·吉亚贡 (Parfait Guiagon)	科特迪瓦	25岁	500万	沙勒罗瓦	中场
克里斯特·乌拉伊 (Christ Inao Oulai)	科特迪瓦	20岁	1700万	特拉布宗体育	中场
弗兰克·凯西 (Franck Kessié)	科特迪瓦	29岁	1200万	吉达国民	中场
易卜拉欣·桑加雷 (Ibrahim Sangaré)	科特迪瓦	28岁	2200万	诺丁汉森林	中场
让-米夏埃尔·塞里 (Jean-Mickaël Seri)	科特迪瓦	34岁	10万	马里博尔	中场
西蒙·阿丁格拉 (Simon Adingra)	科特迪瓦	24岁	2500万	摩纳哥	前锋
安热-约安·博尼 (Ange-Yoan Bonny)	科特迪瓦	22岁	3500万	国际米兰	前锋
阿马德·迪亚洛 (Amad Diallo)	科特迪瓦	23岁	5000万	曼联	前锋
奥马尔·迪亚基特 (Oumar Diakité)	科特迪瓦	22岁	500万	色格拉布鲁日	前锋
扬·迪奥曼德 (Yan Diomandé)	科特迪瓦	19岁	7500万	RB莱比锡	前锋
埃万·盖桑 (Evann Guessand)	科特迪瓦	24岁	2800万	水晶宫	前锋
尼古拉·佩佩 (Nicolas Pépé)	科特迪瓦	31岁	600万	比利亚雷亚尔	前锋
巴祖马纳·图雷 (Bazoumana Touré)	科特迪瓦	20岁	3500万	霍芬海姆	左边锋
埃利·瓦希 (Elye Wahi)	科特迪瓦	23岁	1200万	尼斯	前锋
埃尔南·加林德斯 (Hernán Galíndez)	厄瓜多尔	39岁	30万	飓风	门将
莫伊塞斯·拉米雷斯 (Moisés Ramírez)	厄瓜多尔	25岁	80万	基菲萨	门将
贡萨洛·瓦莱 (Gonzalo Valle)	厄瓜多尔	29岁	180万	基多体育大学	门将
威廉·帕乔 (Willian Pacho)	厄瓜多尔	24岁	7000万	巴黎圣日耳曼	中后卫
彼罗·因卡皮耶 (Piero Hincapié)	厄瓜多尔	24岁	5000万	阿森纳	中后卫/左后卫
佩尔维斯·埃斯图皮尼安 (Pervis Estupiñán)	厄瓜多尔	28岁	1200万	AC米兰	左后卫
乔尔·奥多涅斯 (Joel Ordóñez)	厄瓜多尔	22岁	3300万	布鲁日	中后卫
安吉洛·普雷西亚多 (Ángelo Preciado)	厄瓜多尔	28岁	350万	米内罗竞技	右后卫
菲利克斯·托雷斯 (Félix Torres)	厄瓜多尔	29岁	100万	巴西国际	中后卫
哈克松·波罗索 (Jackson Porozo)	厄瓜多尔	24岁	250万	蒂华纳	中后卫
亚马尔·梅迪纳 (Yaimar Medina)	厄瓜多尔	21岁	400万	亨克	左后卫
莫伊塞斯·凯塞多 (Moisés Caicedo)	厄瓜多尔	24岁	1.1亿	切尔西	中场
阿兰·弗兰科 (Alan Franco)	厄瓜多尔	27岁	450万	米内罗竞技	中场
肯德里·派斯 (Kendry Páez)	厄瓜多尔	19岁	800万	河床	攻击型中场
佩德罗·维特 (Pedro Vite)	厄瓜多尔	24岁	600万	墨西哥美洲狮	中场
乔迪·阿尔西瓦尔 (Jordy Alcívar)	厄瓜多尔	26岁	180万	山谷独立	中场
丹尼尔·卡斯蒂略 (Denil Castillo)	厄瓜多尔	22岁	700万	中日德兰	中场
约翰·叶博亚 (John Yeboah)	厄瓜多尔	25岁	500万	威尼斯	中场/前锋
尼尔松·安古洛 (Nilson Angulo)	厄瓜多尔	22岁	1700万	桑德兰	前锋
冈萨洛·普拉塔 (Gonzalo Plata)	厄瓜多尔	25岁	900万	弗拉门戈	前锋
恩纳·瓦伦西亚 (Enner Valencia)	厄瓜多尔	36岁	100万	帕丘卡	前锋
阿兰·明达 (Alan Minda)	厄瓜多尔	22岁	300万	米内罗竞技	前锋
安东尼·瓦伦西亚 (Anthony Valencia)	厄瓜多尔	24岁	100万	安特卫普	前锋
乔迪·凯塞多 (Jordy Caicedo)	厄瓜多尔	28岁	200万	飓风	前锋
凯文·罗德里格斯 (Kevin Rodríguez)	厄瓜多尔	25岁	500万	圣吉罗斯联合	前锋
赫雷米·阿雷瓦洛 (Jeremy Arévalo)	厄瓜多尔	21岁	700万	斯图加特	前锋
泰里克·博达克 (Tyrick Bodak)	库拉索	24岁	2.5万	特尔斯达 (SC Telstar)	门将
特雷弗·多恩布施 (Trevor Doornbusch)	库拉索	26岁	9万	芬洛 (VVV-Venlo)	门将
埃洛伊·罗姆 (Eloy Room)	库拉索	37岁	20万	迈阿密FC (Miami FC)	门将
里赫德利·巴佐尔 (Riechedly Bazoer)	库拉索	29岁	220万	科尼亚体育 (Konyaspor)	中后卫
约书亚·布雷内特 (Joshua Brenet)	库拉索	32岁	120万	开塞利体育 (Kayserispor)	后卫
罗松·范艾马 (Roshon van Eijma)	库拉索	27岁	45万	瓦尔韦克 (RKC Waalwijk)	中后卫
谢雷尔·弗洛拉努斯 (Sherel Floranus)	库拉索	27岁	64万	兹沃勒 (PEC Zwolle)	左后卫
德弗伦·丰维尔 (Deveron Fonville)	库拉索	23岁	100万	奈梅亨 (NEC Nijmegen)	中后卫
朱里恩·加里 (Juriën Gaari)	库拉索	32岁	46万	艾卜哈 (Abha Club)	中后卫
阿尔曼多·奥比斯波 (Armando Obispo)	库拉索	26岁	84万	埃因霍温 (PSV Eindhoven)	中后卫
舒兰迪·桑博 (Shurandy Sambo)	库拉索	24岁	150万	鹿特丹斯巴达 (Sparta Rotterdam)	右后卫
莱安德罗·巴库纳 (Leandro Bacuna)	库拉索	34岁	25万	厄德尔 (Iğdır FK)	中场
儒尼尼奥·巴库纳 (Juninho Bacuna)	库拉索	28岁	220万	福伦丹 (FC Volendam)	中前卫
利瓦诺·科梅内西亚 (Livano Comenencia)	库拉索	22岁	50万	苏黎世 (FC Zürich)	中场/右后卫
凯文·费利达 (Kevin Felida)	库拉索	26岁	26万	邓伯什 (FC Den Bosch)	中场
阿尔贾尼·马萨 (Ar'Jany Martha)	库拉索	22岁	70万	罗瑟汉姆 (Rotherham United)	中场/后卫
泰瑞斯·诺斯林 (Tyrese Noslin)	库拉索	23岁	75万	特尔斯达 (SC Telstar)	右翼卫
戈弗里德·罗默拉托 (Godfried Roemeratoe)	库拉索	26岁	46万	瓦尔韦克 (RKC Waalwijk)	中场
杰里米·安东尼斯 (Jeremy Antonisse)	库拉索	23岁	80万	基菲萨 (AE Kifisia)	左边锋
陈达毅 (Tahith Chong)	库拉索	26岁	450万	谢菲尔德联 (Sheffield United)	前锋/中场
肯吉·戈雷 (Kenji Gorré)	库拉索	31岁	32万	海法马卡比 (Maccabi Haifa)	左边锋
松切·汉森 (Sontje Hansen)	库拉索	24岁	400万	米德尔斯堡 (Middlesbrough)	右边锋
赫尔瓦内·卡斯塔内尔 (Gervane Kastaneer)	库拉索	29岁	18万	登嘉楼 (Terengganu FC)	前锋
布兰德利·库沃斯 (Brandley Kuwas)	库拉索	33岁	25万	福伦丹 (FC Volendam)	前锋
于尔根·洛卡迪亚 (Jürgen Locadia)	库拉索	32岁	20万	迈阿密FC (Miami FC)	前锋
杰尔·马格里沙 (Jearl Margaritha)	库拉索	26岁	100万	贝弗伦 (SK Beveren)	左边锋
艾曼·达门 (Aymen Dahmen)	突尼斯	28岁	80万	斯法克斯 (CS Sfaxien)	门将
萨布里·本·黑森 (Sabri Ben Hassen)	突尼斯	30岁	40万	沙希尔星 (Étoile du Sahel)	门将
阿卜杜勒穆希卜·查马克 (Abdelmouhib Chamakh)	突尼斯	25岁	45万	非洲之鹰 (Club Africain)	门将
蒙塔萨尔·塔尔比 (Montassar Talbi)	突尼斯	28岁	700万	洛里昂 (Lorient)	中后卫
迪伦·布龙 (Dylan Bronn)	突尼斯	31岁	80万	塞尔维特 (Servette)	后卫
奥马尔·雷基克 (Omar Rekik)	突尼斯	24岁	50万	马里博尔 (Maribor)	后卫
阿德姆·阿鲁斯 (Adem Arous)	突尼斯	22岁	100万	卡斯帕萨 (Kasımpaşa)	后卫
拉伊德·奇卡维 (Raed Chikhaoui)	突尼斯	—	25万	蒙纳斯堤 (US Monastir)	后卫
扬·瓦莱里 (Yan Valery)	突尼斯	27岁	130万	伯尔尼年轻人 (Young Boys)	右后卫
穆塔兹·内法蒂 (Moutaz Neffati)	突尼斯	—	90万	北雪平 (IFK Norrköping)	后卫
阿里·阿卜迪 (Ali Abdi)	突尼斯	32岁	250万	尼斯 (Nice)	左后卫
穆罕默德·阿明·本·哈米达 (Mohamed Amine Ben Hamida)	突尼斯	—	70万	突尼斯希望 (Espérance de Tunis)	后卫
埃尔耶斯·斯希里 (Ellyes Skhiri)	突尼斯	31岁	600万	法兰克福 (Eintracht Frankfurt)	中场
穆罕默德·哈吉·马哈茂德 (Mohamed Hadj Mahmoud)	突尼斯	—	250万	卢加诺 (Lugano)	中场
拉尼·赫迪拉 (Rani Khedira)	突尼斯	32岁	200万	柏林联合 (Union Berlin)	中场
汉尼拔·梅布里 (Hannibal Mejbri)	突尼斯	23岁	1600万	伯恩利 (Burnley)	中场
阿尼斯·本·苏莱曼 (Anis Ben Slimane)	突尼斯	25岁	300万	诺维奇 (Norwich City)	中场
穆尔塔达·本·奥内斯 (Mortadha Ben Ouanes)	突尼斯	32岁	150万	卡斯帕萨 (Kasımpaşa)	中场/边锋
伊斯梅尔·加尔比 (Ismaël Gharbi)	突尼斯	—	500万	奥格斯堡 (FC Augsburg)	中场
哈利勒·阿亚里 (Khalil Ayari)	突尼斯	21岁	80万	巴黎圣日耳曼 (PSG)	前锋
塞巴斯蒂安·图内克蒂 (Sebastian Tounekti)	突尼斯	—	600万	凯尔特人 (Celtic)	前锋
埃利亚斯·阿舒里 (Elias Achouri)	突尼斯	27岁	350万	哥本哈根 (Copenhagen)	前锋
菲拉斯·沙瓦 (Firas Chaouat)	突尼斯	—	85万	非洲之鹰 (Club Africain)	前锋
哈泽姆·马斯图里 (Hazem Mastouri)	突尼斯	—	70万	马哈奇卡拉 (Dynamo Makhachkala)	前锋
埃利亚斯·萨阿德 (Elias Saad)	突尼斯	—	250万	汉诺威96 (Hannover 96)	前锋
拉扬·埃卢米 (Rayan Elloumi)	突尼斯	18岁	60万	温哥华白浪 (Vancouver Whitecaps)	前锋
铃木彩艳 (Zion Suzuki)	日本	23岁	2000万	帕尔马 (Parma)	门将
大迫敬介 (Keisuke Osako)	日本	26岁	200万	广岛三箭 (Sanfrecce Hiroshima)	门将
早川友基 (Tomoki Hayakawa)	日本	27岁	150万	鹿岛鹿角 (Kashima Antlers)	门将
长友佑都 (Yuto Nagatomo)	日本	39岁	10万	FC东京 (FC Tokyo)	后卫
谷口彰悟 (Shogo Taniguchi)	日本	34岁	80万	圣图尔登 (Sint-Truiden)	后卫
板仓滉 (Ko Itakura)	日本	29岁	1000万	阿贾克斯 (Ajax)	后卫
渡边刚 (Tsuyoshi Watanabe)	日本	29岁	1000万	费耶诺德 (Feyenoord)	后卫
富安健洋 (Takehiro Tomiyasu)	日本	27岁	800万	阿贾克斯 (Ajax)	后卫
伊藤洋辉 (Hiroki Ito)	日本	26岁	1800万	拜仁慕尼黑 (Bayern Munich)	后卫
濑古步梦 (Ayumu Seko)	日本	26岁	500万	勒阿弗尔 (Le Havre)	后卫
菅原由势 (Yukinari Sugawara)	日本	25岁	750万	云达不莱梅 (Werder Bremen)	后卫
铃木淳之介 (Junnosuke Suzuki)	日本	23岁	200万	哥本哈根 (København)	中场
远藤航 (Wataru Endo)	日本	33岁	500万	利物浦 (Liverpool)	中场
伊东纯也 (Junya Ito)	日本	33岁	350万	亨克 (Genk)	中场/前锋
镰田大地 (Daichi Kamada)	日本	29岁	1200万	水晶宫 (Crystal Palace)	中场/前锋
小川航基 (Koki Ogawa)	日本	28岁	250万	奈梅亨 (NEC Nijmegen)	中场/前锋
前田大然 (Daizen Maeda)	日本	28岁	1200万	凯尔特人 (Celtic)	中场/前锋
堂安律 (Ritsu Doan)	日本	27岁	2000万	法兰克福 (Eintracht Frankfurt)	中场/前锋
上田绮世 (Ayase Ueda)	日本	27岁	1500万	费耶诺德 (Feyenoord)	中场/前锋
田中碧 (Ao Tanaka)	日本	29岁	1000万	利兹联 (Leeds United)	中场/前锋
中村敬斗 (Keito Nakamura)	日本	25岁	1000万	兰斯 (Reims)	中场/前锋
佐野海舟 (Kaishu Sano)	日本	25岁	4000万 (或2500万)	美因茨 (Mainz)	中场/前锋
久保建英 (Takefusa Kubo)	日本	24岁	3000万	皇家社会 (Real Sociedad)	中场/前锋
铃木唯人 (Yuito Suzuki)	日本	24岁	1800万 (或2400万)	弗赖堡 (Freiburg)	中场/前锋
盐贝健人 (Kento Shiogai)	日本	20岁	800万	沃尔夫斯堡 (VfL Wolfsburg)	中场/前锋
后藤启介 (Keisuke Goto)	日本	20岁	800万	圣图尔登 (Sint-Truiden)	中场/前锋
吉列尔莫·奥乔亚 (Guillermo Ochoa)	墨西哥	40岁	30万	AEL利马索尔	门将
何塞·兰赫尔 (José Rangel)	墨西哥	25岁	650万	瓜达拉哈拉	门将
卡洛斯·阿塞韦多 (Carlos Acevedo)	墨西哥	28岁	280万	桑托斯拉古纳	门将
豪尔赫·桑切斯 (Jorge Sánchez)	墨西哥	28岁	220万	塞萨洛尼基	后卫
伊斯雷尔·雷耶斯 (Israel Reyes)	墨西哥	25岁	600万	墨西哥美洲	后卫
塞萨尔·蒙特斯 (César Montes)	墨西哥	29岁	750万	莫斯科火车头	后卫
约翰·巴斯克斯 (Johan Vásquez)	墨西哥	27岁	1200万	热那亚	后卫
赫苏斯·加利亚多 (Jesús Gallardo)	墨西哥	31岁	280万	托卢卡	后卫
马特奥·查韦斯 (Mateo Chávez)	墨西哥	22岁	400万	阿尔克马尔	后卫
路易斯·罗莫 (Luis Romo)	墨西哥	31岁	300万	瓜达拉哈拉	后卫
埃里克·利拉 (Érik Lira)	墨西哥	26岁	1200万	蓝十字	中场
布里安·古铁雷斯 (Brian Gutiérrez)	墨西哥	23岁	800万	瓜达拉哈拉	中场
希尔韦托·莫拉 (Gilberto Mora)	墨西哥	17岁	1000万	蒂华纳	中场
阿尔瓦罗·菲达尔戈 (Álvaro Fidalgo)	墨西哥	28岁	1000万	皇家贝蒂斯	中场
奥贝德·巴尔加斯 (Obed Vargas)	墨西哥	22岁	800万	马德里竞技	中场
奥韦林·皮内达 (Orbelín Pineda)	墨西哥	30岁	700万	雅典AEK	中场
埃德松·阿尔瓦雷斯 (Edson Álvarez)	墨西哥	28岁	1500万	费内巴切	中场
路易斯·查韦斯 (Luis Chávez)	墨西哥	30岁	600万	莫斯科迪纳摩	中场
塞萨尔·韦尔塔 (César Huerta)	墨西哥	25岁	500万	安德莱赫特	前锋
亚历克西斯·贝加 (Alexis Vega)	墨西哥	28岁	800万	托卢卡	前锋
阿曼多·冈萨雷斯 (Armando González)	墨西哥	22岁	1500万	瓜达拉哈拉	前锋
吉列尔莫·马丁内斯 (Guillermo Martínez)	墨西哥	29岁	150万	美洲狮	前锋
胡利安·基尼奥内斯 (Julián Quiñones)	墨西哥	29岁	1200万	胡拜尔库迪西亚	前锋
罗伯托·阿尔瓦拉多 (Roberto Alvarado)	墨西哥	27岁	750万	瓜达拉哈拉	前锋
劳尔·希门尼斯 (Raúl Jiménez)	墨西哥	35岁	400万	富勒姆	前锋
圣地亚哥·希门尼斯 (Santiago Giménez)	墨西哥	25岁	1800万	AC米兰	前锋
罗恩文·威廉姆斯 (Ronwen Williams)	南非	33岁	90万	马梅洛迪日落	门将
里卡多·戈斯 (Ricardo Goss)	南非	32岁	35万	西韦莱莱	门将
西波·钱恩 (Sipho Chaine)	南非	29岁	140万	奥兰多海盗	门将
库利索·穆达乌 (Khuliso Mudau)	南非	30岁	120万	马梅洛迪日落	后卫
恩科西纳蒂·西比西 (Nkosinathi Sibisi)	南非	30岁	160万	奥兰多海盗	后卫
伊梅·奥孔 (Ime Okon)	南非	22岁	200万	汉诺威96	后卫
库卢马尼·恩达马内 (Khulumani Ndamane)	南非	24岁	80万	马梅洛迪日落	后卫
奥布雷·莫迪巴 (Aubrey Modiba)	南非	30岁	180万	马梅洛迪日落	后卫
姆贝凯泽利·姆博卡齐 (Mbekezeli Mbokazi)	南非	20岁	250万	芝加哥火焰	后卫
萨穆凯洛·卡比尼 (Samukele Kabini)	南非	27岁	200万	莫尔德FK	后卫
塔邦·马图鲁迪 (Thabang Matuludi)	南非	26岁	90万	波洛夸内城	后卫
奥尔韦图·马卡尼亚 (Olwethu Makhanya)	南非	28岁	200万	费城联合	后卫
布拉德利·克罗斯 (Bradley Cross)	南非	25岁	—	凯撒酋长	后卫
卡莫盖洛·塞贝莱贝莱 (Kamogelo Sebelebele)	南非	25岁	85万	奥兰多海盗	后卫
泰博霍·莫库纳 (Teboho Mokoena)	南非	29岁	250万	马梅洛迪日落	中场
塔伦特·姆巴塔 (Talente Mbatha)	南非	24岁	160万	奥兰多海盗	中场
斯费费洛·西索莱 (Sphephelo Sithole)	南非	27岁	60万	通德拉	中场
杰登·亚当斯 (Jayden Adams)	南非	25岁	140万	马梅洛迪日落	中场
奥斯温·阿波利斯 (Oswin Appollis)	南非	24岁	200万	奥兰多海盗	前锋
伊克拉姆·雷纳斯 (Iqraam Rayners)	南非	30岁	300万	马梅洛迪日落	前锋
切潘·莫雷米 (Tshepang Moremi)	南非	24岁	100万	奥兰多海盗	前锋
埃维登斯·马科戈帕 (Evidence Makgopa)	南非	26岁	120万	奥兰多海盗	前锋
莱尔·福斯特 (Lyle Foster)	南非	25岁	1000万	伯恩利	前锋
雷莱博希莱·莫福肯 (Relebohile Mofokeng)	南非	21岁	200万	奥兰多海盗	前锋
滕巴·兹瓦内 (Themba Zwane)	南非	36岁	30万	马梅洛迪日落	前锋
塔佩洛·马塞科 (Thapelo Maseko)	南非	24岁	75万	AEL利马索尔	前锋
金承奎 (Kim Seung-gyu)	韩国	35岁	60万	FC东京	门将
赵贤祐 (Jo Hyeon-woo)	韩国	34岁	70万	蔚山HD	门将
宋范根 (Song Bum-keun)	韩国	28岁	100万	全北现代	门将
金玟哉 (Kim Min-jae)	韩国	29岁	2500万	拜仁慕尼黑	后卫
曹侑珉 (Cho Yu-min)	韩国	29岁	180万	沙迦	后卫
李韩汎 (Lee Han-beom)	韩国	24岁	180万	中日德兰	后卫
李期奕 (Lee Ki-hyeok)	韩国	25岁	60万	江原FC	后卫
金太炫 (Kim Tae-hyeon)	韩国	26岁	70万	鹿岛鹿角	后卫
李太锡 (Lee Tae-seok)	韩国	23岁	150万	奥地利维也纳	后卫
薛英佑 (Seol Young-woo)	韩国	27岁	500万	贝尔格莱德红星	后卫
延斯·卡斯特罗普 (Jens Castrop)	韩国	22岁	600万	门兴格拉德巴赫	后卫
金纹奂 (Kim Moon-hwan)	韩国	30岁	80万	大田韩亚市民	后卫
朴镇燮 (Park Jin-seop)	韩国	30岁	100万	浙江	中场
杨贤俊 (Yang Hyun-jun)	韩国	23岁	300万	凯尔特人	中场
白昇浩 (Paik Seung-ho)	韩国	29岁	250万	伯明翰	中场
黄仁范 (Hwang In-beom)	韩国	29岁	800万	费耶诺德	中场
