### 墨西哥队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| 门将 | 马尔文·凯勒（Marvin Keller） | 年轻人 | 1 |
| 门将 | 姆沃戈（Yvon Mvogo） | 洛里昂 | 11 |
| 后卫 | 阿坎吉（Manuel Akanji） | 国际米兰 | 71 |
| 后卫 | 埃尔维迪（Nico Elvedi） | 门兴格拉德巴赫 | 56 |
| 后卫 | 里卡多·罗德里格斯（Ricardo Rodríguez） | 皇家贝蒂斯 | 125 |
| 后卫 | 席尔文·威德默（Silvan Widmer） | 美因茨 | 49 |
| 后卫 | 穆海姆（Loris Mühleim） | 汉堡 | 3 |
| 后卫 | 阿曼达（Aurèle Amenda） | 法兰克福 | 4 |
| 后卫 | 卢卡·雅克（Luca Jaquez） | 斯图加特 | 0 |
| 后卫 | 埃雷·科默特（Eray Cömert） | 瓦伦西亚 | 18 |
| 中场 | 格拉尼特·扎卡（Granit Xhaka） | 桑德兰 | 144 |
| 中场 | 约翰·曼赞比（John Manzambi） | 弗赖堡 | 12 |
| 中场 | 弗罗伊勒（Remo Freuler） | 博洛尼亚 | 78 |
| 中场 | 扎卡里亚（Denis Zakaria） | 摩纳哥 | 57 |
| 中场 | 亚沙里（Ardon Jashari） | AC米兰 | 4 |
| 中场 | 索乌（Djibril Sow） | 塞维利亚 | 41 |
| 中场 | 米歇尔·阿比切尔（Michel Aebischer） | 比萨 | 36 |
| 中场 | 法比安·里德（Fabian Rieder） | 奥格斯堡 | — |
| 前锋 | 诺阿·奥卡福尔（Noah Okafor） | 利兹联 | 24 |
| 前锋 | 恩多耶（Dan Ndoye） | 诺丁汉森林 | 22 |
| 前锋 | 恩博洛（Breel Embolo） | 雷恩 | 75 |
| 前锋 | 鲁本·巴尔加斯（Rubén Vargas） | 塞维利亚 | 50 |
| 前锋 | 法斯纳赫特（Christian Fassnacht） | 年轻人 | — |
| 前锋 | 塞德里克·伊顿（Cedric Itten） | 杜塞尔多夫 | 13 |
| 前锋 | 阿姆杜尼（Zeki Amdouni） | 伯恩利 | 25 |
---
### 波黑队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
|------|------|--------|----------------|
| 门将 | 尼古拉·瓦西里（Nikola Vasilj） | 圣保利 | 25 |
| 门将 | 马丁·兹洛米斯利奇（Martin Zlomislić） | 里耶卡 | 2 |
| 门将 | 奥斯曼·哈季基奇（Osman Hadžikić） | 斯拉文贝鲁波 | 0 |
| 后卫 | 塞亚德·科拉希纳茨（Sead Kolašinac） | 亚特兰大 | 60 |
| 后卫 | 阿马尔·德迪奇（Amar Dedić） | 本菲卡 | 26 |
| 后卫 | 尼哈德·穆亚基奇（Nihad Mujakić） | 加济安泰普 | 6 |
| 后卫 | 尼古拉·卡蒂奇（Nikola Katić） | 沙尔克04 | 9 |
| 后卫 | 塔里克·穆哈雷莫维奇（Tarik Muharemović） | 萨索洛 | 10 |
| 后卫 | 斯捷潘·拉德里季奇（Stjepan Radeljić） | 里耶卡 | 3 |
| 后卫 | 丹尼斯·哈迪卡杜尼克（Denis Hadžikadunić） | 桑普多利亚 | 32 |
| 后卫 | 尼达尔·切利克（Nidal Čelik） | 朗斯 | 0 |
| 中场 | 阿米尔·哈吉艾哈迈托维奇（Amir Hadžiahmetović） | 赫尔城 | 30 |
| 中场 | 伊万·舒尼奇（Ivan Šunjić） | 帕福斯 | 4 |
| 中场 | 伊万·巴希奇（Ivan Bašić） | 阿斯塔纳 | 16 |
| 中场 | 泽尼斯·布尔尼奇（Zenís Burnić） | 卡尔斯鲁厄 | 8 |
| 中场 | 埃尔明·马赫米奇（Ermin Mahmić） | 利贝雷茨 | 1 |
| 中场 | 本亚明·塔希罗维奇（Benjamin Tahirović） | 布隆德比 | 22 |
| 中场 | 阿马尔·梅米奇（Amar Memić） | 比尔森胜利 | 14 |
| 中场 | 阿尔明·吉戈维奇（Armin Gigović） | 年轻人 | 19 |
| 中场 | 克里姆·阿拉伊贝戈维奇（Kerim Alajbegović） | 萨尔茨堡红牛 | 9 |
| 前锋 | 埃斯米尔·巴里亚克塔雷维奇（Esmir Bajraktarević） | 埃因霍温 | 14 |
| 前锋 | 埃尔梅丁·德米罗维奇（Ermedin Demirović） | 斯图加特 | 38 |
| 前锋 | 约沃·卢基奇（Jovo Lukić） | 克卢日大学 | 1 |
| 前锋 | 萨梅德·巴日达尔（Samed Baždar） | 雅盖隆尼亚 | 11 |
| 前锋 | 哈里斯·塔巴科维奇（Haris Tabaković） | 门兴格拉德巴赫 | 5 |
| 前锋 | 埃丁·哲科（Edin Džeko） | 沙尔克04 | 148 |
---
### 卡塔尔队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
|------|------|--------|----------------|
| 门将 | 马穆德·阿布纳德（Mahmoud Abunada） | 赖扬 | — |
| 门将 | 梅萨尔·巴沙姆（Meshaal Barsham） | 多哈萨德 | 47 |
| 门将 | 萨拉赫·扎卡里亚（Salah Zakaria） | 杜海勒 | 6 |
| 后卫 | 阿尤布·阿莱维（Ayoub Alawi） | 加拉法 | — |
| 后卫 | 布阿莱姆·胡希（Boualem Khoukhi） | 多哈萨德 | 108 |
| 后卫 | 霍曼·艾哈迈德（Homam Ahmed） | 莱昂内萨 | 44 |
| 后卫 | 卢卡斯·门德斯（Lucas Mendes） | 沃克拉 | — |
| 后卫 | 伊萨·拉耶（Issa Lay） | 卢塞尔SC | — |
| 后卫 | 佩德罗·米格尔（Pedro Miguel） | 多哈萨德 | 89 |
| 后卫 | 苏丹·布雷克（Sultan Brake） | 杜海勒 | 8 |
| 后卫 | 阿尔·哈希米·侯赛因（Al-Hashmi Al-Hussain） | 阿拉比SC | 7 |
| 中场 | 阿西姆·马迪博（Assim Madibo） | 沃克拉 | 53 |
| 中场 | 阿卜杜勒阿齐兹·哈特姆（Abdulaziz Hatem） | 赖扬 | 105 |
| 中场 | 艾哈迈德·法特希（Ahmed Fathi） | 阿拉比SC | 28 |
| 中场 | 卡里姆·布迪亚夫（Karim Boudiaf） | 杜海勒 | 111 |
| 中场 | 贾西姆·阿卜杜勒萨拉姆（Jassim Abdulsalam） | 赖扬 | 22 |
| 中场 | 穆罕默德·马奈（Mohammed Manai） | 北方体育 | — |
| 前锋 | 艾哈迈德·贾内希（Ahmed Al-Ganehi） | 加拉法 | 7 |
| 前锋 | 艾哈迈德·阿拉丁（Ahmed Alaaeldin） | 赖扬 | 61 |
| 前锋 | 阿克拉姆·阿菲夫（Akram Afif） | 多哈萨德 | 126 |
| 前锋 | 埃莫兹·阿里（Almoez Ali） | 杜海勒 | 126 |
| 前锋 | 埃迪米森（Edimilson） | 杜海勒 | 14 |
| 前锋 | 哈桑·海多斯（Hassan Al-Haydos） | 多哈萨德 | 184 |
| 前锋 | 穆罕默德·蒙塔里（Mohammed Muntari） | 加拉法 | 63 |
| 前锋 | 塔辛·穆罕默德·贾姆希德（Tashin Mohammed Jamshid） | 海勒 | 1 |
| 前锋 | 优素福·阿卜杜里萨格（Yusuf Abdurisag） | 沃克拉体育 | 37 |
---
### 🇧🇷 巴西队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 阿利松 (Alisson Becker) | 利物浦 | 76 |
| 门将 | 埃德松 (Ederson) | 费内巴切 | 31 |
| 门将 | 韦弗顿 (Weverton) | 格雷米奥 | 1 |
| 后卫 | 马尔基尼奥斯 (Marquinhos) | 巴黎圣日耳曼 | 106 |
| 后卫 | 加布里埃尔 (Gabriel Magalhães) | 阿森纳 | 17 |
| 后卫 | 阿莱克斯·桑德罗 (Alex Sandro) | 弗拉门戈 | 43 |
| 后卫 | 布雷默 (Bremer) | 尤文图斯 | 6 |
| 后卫 | 达尼洛 (Danilo) | 弗拉门戈 | 68 |
| 后卫 | 道格拉斯·桑托斯 (Douglas Santos) | 泽尼特 | 5 |
| 后卫 | 莱奥·佩雷拉 (Leo Pereira) | 弗拉门戈 | 2 |
| 后卫 | 罗杰·伊巴涅斯 (Roger Ibanez) | 吉达国民 | 5 |
| 后卫 | 韦斯利 (Wesley) | 罗马 | 0 |
| 中场 | 吉马良斯 (Bruno Guimaraes) | 纽卡斯尔 | 41 |
| 中场 | 卡塞米罗 (Casemiro) | 曼联 | 84 |
| 中场 | 达尼洛·桑托斯 (Danilo Santos) | 博塔弗戈 | 2 |
| 中场 | 法比尼奥 (Fabinho) | 吉达联合 | 31 |
| 中场 | 帕奎塔 (Lucas Paqueta) | 弗拉门戈 | 61 |
| 中场 | 埃德松 (Ederson) | 亚特兰大 | 3 |
| 前锋 | 维尼修斯 (Vinicius Jr.) | 皇家马德里 | 50 |
| 前锋 | 内马尔 (Neymar) | 桑托斯 | 128 |
| 前锋 | 拉菲尼亚 (Raphinha) | 巴塞罗那 | 37 |
| 前锋 | 恩德里克 (Endrick) | 里昂 | 15 |
| 前锋 | 马丁内利 (Gabriel Martinelli) | 阿森纳 | 22 |
| 前锋 | 伊戈尔·蒂亚戈 (Igor Thiago) | 布伦特福德 | 2 |
| 前锋 | 路易斯·恩里克 (Luiz Henrique) | 泽尼特 | 13 |
| 前锋 | 库尼亚 (Matheus Cunha) | 曼联 | 21 |
| 前锋 | 拉扬 (Rayan) | 伯恩茅斯 | 1 |
---
### 🇲🇦 摩洛哥队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 亚辛·布努 (Yassine Bounou) | 利雅得新月 | 数据待核实 |
| 门将 | 穆尼尔 (Munir El Kajoui) | 勒内森斯 | 数据待核实 |
| 门将 | 塔格诺提 (Ahmed Reda Tagnaouti) | 卡萨布兰卡 | 数据待核实 |
| 后卫 | 阿什拉夫·哈基米 (Achraf Hakimi) | 巴黎圣日耳曼 | 数据待核实 |
| 后卫 | 马兹拉维 (Noussair Mazraoui) | 曼联 | 数据待核实 |
| 后卫 | 埃丁 (Anass Salah-Eddine) | 埃因霍温 | 数据待核实 |
| 后卫 | 里亚德 (Chadi Riad) | 水晶宫 | 数据待核实 |
| 后卫 | 迪奥普 (Issa Diop) | 富勒姆 | 数据待核实 |
| 后卫 | 哈尔哈尔 (Redouane Halhal) | 梅赫伦 | 数据待核实 |
| 后卫 | 埃尔瓦赫迪 (Zakaria El Ouahdi) | 亨克 | 数据待核实 |
| 后卫 | 贝拉马里 (Youssef Belammari) | 开罗国民 | 数据待核实 |
| 后卫 | 萨阿丹 (Marwane Saâdane) | 哈萨征服 | 数据待核实 |
| 中场 | 阿姆拉巴特 (Sofyan Amrabat) | 皇家贝蒂斯 | 数据待核实 |
| 中场 | 奥纳希 (Azzedine Ounahi) | 赫罗纳 | 数据待核实 |
| 中场 | 汉努斯 (Bilal El Khannouss) | 斯图加特 | 数据待核实 |
| 中场 | 塞巴里 (Ismael Saibari) | 埃因霍温 | 数据待核实 |
| 中场 | 布阿迪 (Ayyoub Bouaddi) | 里尔 | 数据待核实 |
| 中场 | 艾纳奥伊 (Neil El Aynaoui) | 罗马 | 数据待核实 |
| 中场 | 穆拉贝特 (Samir El Mourabet) | 斯特拉斯堡 | 数据待核实 |
| 前锋 | 布拉欣·迪亚斯 (Brahim Diaz) | 皇家马德里 | 数据待核实 |
| 前锋 | 拉希米 (Soufiane Rahimi) | 艾因 | 数据待核实 |
| 前锋 | 卡比 (Ayoub El Kaabi) | 奥林匹亚科斯 | 数据待核实 |
| 前锋 | 斯拜 (Amine Sbai) | 昂热 | 数据待核实 |
| 前锋 | 塔尔比 (Chemsdine Talbi) | 桑德兰 | 数据待核实 |
| 前锋 | 亚辛 (Yassine Gessime) | 斯特拉斯堡 | 数据待核实 |
| 前锋 | 阿迈莫尼 (Ayoube Amaimouni) | 法兰克福 | 数据待核实 |
---
### 🇭🇹 海地队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 约翰尼·普拉西德 (Johny Placide) | 巴斯蒂亚 | 数据待核实 |
| 门将 | 亚历山大·皮埃尔 (Alexandre Pierre) | 索肖 | 数据待核实 |
| 门将 | 约书亚·迪韦尔热 (Josue Duverger) | 科布伦茨宇宙 | 数据待核实 |
| 后卫 | 卡尔伦斯·阿尔库斯 (Carlens Arcus) | 昂热 | 数据待核实 |
| 后卫 | 维尔格恩·波冈 (Wilguens Paugain) | 聚尔特瓦雷赫姆 | 数据待核实 |
| 后卫 | 杜克·拉克鲁瓦 (Duke Lacroix) | 科罗拉多斯普林斯 | 数据待核实 |
| 后卫 | 马丁·埃克佩里安斯 (Martin Experience) | 南锡 | 数据待核实 |
| 后卫 | 让-凯文·迪韦尔纳 (Jean-Kévin Duverne) | 根特 | 数据待核实 |
| 后卫 | 里卡多·阿德 (Ricardo Ade) | 基多体育大学 | 数据待核实 |
| 后卫 | 汉内斯·德尔克鲁瓦 (Hannes Delcroix) | 卢加诺 | 数据待核实 |
| 后卫 | 基托·泰尔蒙西 (Keito Thermoncy) | 年轻人 | 数据待核实 |
| 中场 | 让-里克内·贝勒加德 (Jean-Ricner Bellegarde) | 狼队 | 数据待核实 |
| 中场 | 莱弗顿·皮埃尔 (Leverton Pierre) | 维泽拉 | 数据待核实 |
| 中场 | 卡尔-弗雷德·桑特 (Carl Fred Sainte) | 埃尔帕索机车 | 数据待核实 |
| 中场 | 丹利·让-雅克 (Danley Jean Jacques) | 费城联合 | 数据待核实 |
| 中场 | 皮埃尔·伍登斯基 (Woodensky Pierre) | 维奥莱特 | 数据待核实 |
| 中场 | 多米尼克·西蒙 (Dominique Simon) | 普雷绍夫塔特兰 | 数据待核实 |
| 前锋 | 威尔逊·伊西多尔 (Wilson Isidor) | 桑德兰 | 数据待核实 |
| 前锋 | 达肯斯·纳松 (Duckens Nazon) | 德黑兰独立 | **76** |
| 前锋 | 德里克·埃蒂安 (Derrick Etienne) | 多伦多FC | 46 |
| 前锋 | 卢修斯·迪德松 (Louicius Deedson) | 达拉斯FC | 数据待核实 |
| 前锋 | 吕本·普罗维登斯 (Ruben Providence) | 阿尔梅勒城 | 数据待核实 |
| 前锋 | 若苏埃·卡西米尔 (Josue Casimir) | 欧塞尔 | 数据待核实 |
| 前锋 | 弗兰茨迪·皮埃罗 (Frantzdy Pierrot) | 里泽体育 | 数据待核实 |
| 前锋 | 亚辛·福尔蒂纳 (Yassin Fortune) | 维泽拉 | 数据待核实 |
| 前锋 | 莱尼·约瑟夫 (Lenny Joseph) | 费伦茨瓦罗斯 | 数据待核实 |
---
### 苏格兰队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 克雷格·戈登 (Craig Gordon) | 哈茨 | 83 |
| 门将 | 安格斯·冈恩 (Angus Gunn) | 诺丁汉森林 | 21 |
| 门将 | 利亚姆·凯利 (Liam Kelly) | 流浪者 | 2 |
| 后卫 | 安迪·罗伯逊 (Andy Robertson) | 利物浦 | **92** |
| 后卫 | 格兰特·汉利 (Grant Hanley) | 希伯尼安 | 66 |
| 后卫 | 杰克·亨德利 (Jack Hendry) | 达曼协作 | 数据待核实 |
| 后卫 | 阿隆·希基 (Aaron Hickey) | 布伦特福德 | 数据待核实 |
| 后卫 | 多米尼克·海厄姆 (Dom Hyam) | 雷克瑟姆 | 数据待核实 |
| 后卫 | 斯科特·麦肯纳 (Scott McKenna) | 萨格勒布迪纳摩 | 数据待核实 |
| 后卫 | 内森·帕特森 (Nathan Patterson) | 埃弗顿 | 数据待核实 |
| 后卫 | 安东尼·拉尔斯顿 (Anthony Ralston) | 凯尔特人 | 数据待核实 |
| 后卫 | 约翰·苏塔尔 (John Souttar) | 格拉斯哥流浪者 | 数据待核实 |
| 后卫 | 基兰·蒂尔尼 (Kieran Tierney) | 凯尔特人 | 数据待核实 |
| 中场 | 斯科特·麦克托米奈 (Scott McTominay) | 那不勒斯 | 数据待核实 |
